timestamp,hour,day_of_week,is_weekend,road_type,speed_limit,weather,temperature,humidity,incident_flag,vehicle_volume,congestion_index
2026-06-01 00:00:00,0,Monday,0,Arterial,70,Heavy Rain,29.6,69.9,0,273,36.2
2026-06-01 00:15:00,0,Monday,0,Downtown,50,Clear,34.4,81.6,0,144,1.88
2026-06-01 00:30:00,0,Monday,0,Arterial,70,Clear,23.6,54.6,0,188,1.33
2026-06-01 00:45:00,0,Monday,0,Arterial,70,Clear,30.7,50.0,0,174,3.63
2026-06-01 01:00:00,1,Monday,0,Downtown,50,Clear,16.3,87.4,1,127,40.73
2026-06-01 01:15:00,1,Monday,0,Highway,100,Rainy,23.8,46.1,0,458,14.12
2026-06-01 01:30:00,1,Monday,0,Arterial,70,Clear,25.9,49.2,1,266,42.68
2026-06-01 01:45:00,1,Monday,0,Residential,30,Clear,18.9,42.3,0,50,0.11
2026-06-01 02:00:00,2,Monday,0,Downtown,50,Clear,20.6,67.1,0,269,8.78
2026-06-01 02:15:00,2,Monday,0,Downtown,50,Rainy,16.5,57.9,0,239,20.36
2026-06-01 02:30:00,2,Monday,0,Arterial,70,Clear,21.2,56.3,0,340,7.33
2026-06-01 02:45:00,2,Monday,0,Arterial,70,Clear,29.3,78.0,0,235,9.14
2026-06-01 03:00:00,3,Monday,0,Arterial,70,Clear,15.5,45.4,0,69,4.43
2026-06-01 03:15:00,3,Monday,0,Arterial,70,Foggy,20.0,60.5,0,142,19.18
2026-06-01 03:30:00,3,Monday,0,Residential,30,Rainy,27.7,83.6,0,264,24.53
2026-06-01 03:45:00,3,Monday,0,Residential,30,Clear,17.2,51.4,0,135,6.92
2026-06-01 04:00:00,4,Monday,0,Highway,100,Clear,23.3,51.1,0,414,4.73
2026-06-01 04:15:00,4,Monday,0,Arterial,70,Clear,29.1,58.2,1,50,35.87
2026-06-01 04:30:00,4,Monday,0,Highway,100,Clear,27.2,65.1,0,417,4.49
2026-06-01 04:45:00,4,Monday,0,Highway,100,Clear,24.8,89.3,0,497,8.53
2026-06-01 05:00:00,5,Monday,0,Highway,100,Rainy,22.4,71.6,0,254,15.44
2026-06-01 05:15:00,5,Monday,0,Downtown,50,Clear,18.7,42.0,0,50,1.34
2026-06-01 05:30:00,5,Monday,0,Downtown,50,Clear,28.8,59.3,0,153,0.82
2026-06-01 05:45:00,5,Monday,0,Highway,100,Foggy,32.5,52.9,0,387,26.81
2026-06-01 06:00:00,6,Monday,0,Arterial,70,Clear,16.9,84.9,0,667,16.2
2026-06-01 06:15:00,6,Monday,0,Arterial,70,Rainy,32.9,84.4,0,758,27.05
2026-06-01 06:30:00,6,Monday,0,Highway,100,Foggy,27.1,40.5,0,1280,30.51
2026-06-01 06:45:00,6,Monday,0,Downtown,50,Rainy,19.5,75.6,0,839,28.61
2026-06-01 07:00:00,7,Monday,0,Downtown,50,Rainy,28.2,68.4,0,535,21.84
2026-06-01 07:15:00,7,Monday,0,Highway,100,Heavy Rain,22.9,84.6,0,1261,48.28
2026-06-01 07:30:00,7,Monday,0,Arterial,70,Clear,18.9,76.1,0,845,15.59
2026-06-01 07:45:00,7,Monday,0,Highway,100,Foggy,34.1,85.7,0,1316,34.4
2026-06-01 08:00:00,8,Monday,0,Residential,30,Foggy,20.9,59.3,0,588,65.19
2026-06-01 08:15:00,8,Monday,0,Arterial,70,Foggy,28.9,68.5,0,1686,68.5
2026-06-01 08:30:00,8,Monday,0,Residential,30,Rainy,28.9,75.1,0,808,68.92
2026-06-01 08:45:00,8,Monday,0,Downtown,50,Foggy,33.3,65.6,0,1468,76.77
2026-06-01 09:00:00,9,Monday,0,Downtown,50,Rainy,32.8,56.9,0,1419,63.68
2026-06-01 09:15:00,9,Monday,0,Highway,100,Clear,25.9,54.3,0,2463,56.37
2026-06-01 09:30:00,9,Monday,0,Highway,100,Clear,30.4,50.8,0,2806,62.96
2026-06-01 09:45:00,9,Monday,0,Downtown,50,Rainy,34.5,65.8,0,1320,66.56
2026-06-01 10:00:00,10,Monday,0,Arterial,70,Clear,15.5,88.1,0,1587,57.04
2026-06-01 10:15:00,10,Monday,0,Highway,100,Clear,20.0,67.5,0,2368,54.65
2026-06-01 10:30:00,10,Monday,0,Residential,30,Rainy,26.1,70.6,0,612,57.98
2026-06-01 10:45:00,10,Monday,0,Downtown,50,Clear,17.3,42.3,0,1453,57.35
2026-06-01 11:00:00,11,Monday,0,Arterial,70,Clear,24.8,63.7,0,600,7.46
2026-06-01 11:15:00,11,Monday,0,Downtown,50,Clear,15.9,58.7,0,839,19.1
2026-06-01 11:30:00,11,Monday,0,Downtown,50,Clear,16.4,72.1,0,777,18.04
2026-06-01 11:45:00,11,Monday,0,Arterial,70,Clear,27.9,62.9,0,821,17.31
2026-06-01 12:00:00,12,Monday,0,Residential,30,Foggy,18.9,43.5,0,291,31.85
2026-06-01 12:15:00,12,Monday,0,Arterial,70,Rainy,15.5,80.7,0,882,26.63
2026-06-01 12:30:00,12,Monday,0,Downtown,50,Foggy,29.7,80.2,0,766,33.28
2026-06-01 12:45:00,12,Monday,0,Downtown,50,Heavy Rain,23.3,58.6,0,765,44.78
2026-06-01 13:00:00,13,Monday,0,Residential,30,Clear,30.0,77.7,0,351,18.75
2026-06-01 13:15:00,13,Monday,0,Downtown,50,Clear,32.9,59.5,0,738,16.38
2026-06-01 13:30:00,13,Monday,0,Residential,30,Clear,27.6,62.4,0,494,18.86
2026-06-01 13:45:00,13,Monday,0,Downtown,50,Rainy,30.8,44.6,0,709,26.08
2026-06-01 14:00:00,14,Monday,0,Arterial,70,Foggy,22.0,45.9,0,913,39.37
2026-06-01 14:15:00,14,Monday,0,Highway,100,Clear,29.0,43.6,0,1203,15.89
2026-06-01 14:30:00,14,Monday,0,Highway,100,Heavy Rain,22.5,58.5,0,1180,46.98
2026-06-01 14:45:00,14,Monday,0,Highway,100,Rainy,26.2,61.2,0,1257,24.86
2026-06-01 15:00:00,15,Monday,0,Highway,100,Clear,16.1,45.9,0,1412,20.14
2026-06-01 15:15:00,15,Monday,0,Arterial,70,Heavy Rain,22.5,54.3,0,866,44.44
2026-06-01 15:30:00,15,Monday,0,Highway,100,Clear,34.4,66.2,0,1208,20.83
2026-06-01 15:45:00,15,Monday,0,Downtown,50,Clear,33.0,42.3,0,962,19.44
2026-06-01 16:00:00,16,Monday,0,Highway,100,Clear,24.3,57.7,0,1030,14.09
